experiment,table,seeds,dataset,training_script,config,checkpoint,decision_rule,threshold_rule,metric_script,ece_variant,retraining
main factorial,"7-10,12",42-53,TERA-Gen 70/15/15,1-pipeline-tera/run_experiment.py + 6-revision-round1/seed-expansion-tera/run_seed_expansion_tera.py,configs/experiment_config.yaml (d5327a24d1d2f7f9),frozen per seed (campaign models/),episode: mean last k=6 frames vs thr_ep,thr_ep on VAL (F1 max s.t. FR<=0.05); TTD theta=0.10 m=3,stats_12seeds.py,ECE_pipe,seeds 46-53 trained once; 42-45 reuse verified
borderline Mov6,13,42,borderline recipes held-out,(frozen factorial models),idem,frozen,"p_bar_max descriptor, theta=0.10",n/a,generate_borderline_frame_logs.py,-,no
post-hoc calibration,14,42-45,pipeline trajectories,3-calibration-posthoc/tera_posthoc_calibration_experiment.py,idem,frozen Baseline + fitted calibrators (VAL),pipeline rules,MHEG thresholds recalibrated per variant on VAL,idem,ECE_cal,no (calibrators fitted on VAL)
teacher ablation,15,42-45,idem,run_ablation_teacher_study.py,"simplified (60 ep, no scheduler)",retrained,internal,internal,idem,-,yes (declared not comparable)
mechanism ablation,11,42-53,run_v29 splits,ablacao_mecanismo_temporal/run_mechanism_ablation.py (patches run_v29),ABLATION_MODE=A + TEMPORAL_ORG_SCALE,all 5 arms retrained under run_v29,run_v29 episode rule,"run_v29 per-seed Pareto (tau_delta, tau_H=0.95 bits)",analyze_mechanism_ablation.py,ECE_v29,YES - all arms incl. alpha=0.15
stress campaign,16-18,42-45,self-generated scenario episodes (deterministic),8-stress-campaign/src/article1_neg.py,8-stress-campaign/config,n/a (signal-level simulation by design),"FS@onset, coverage/miss","compute-rate matched +-2%; tau_h on normalized abstract H in [0,1] (deliberate)",idem,-,no
gating baselines + refresh,19,42-45,stored run_v29 trajectories,baselines_novos/run_gating_baselines_v2.py + run_refresh_gate_v2.py,in-script grids,frozen abl_A,"label onset y>0.35, theta=0.10, m=3",oracle grid on test (declared favorable),idem,-,no
Skip-RNN,20,42-45,campaign partitions (data/indices),skiprnn_baseline/train_skiprnn.py,lambda grid in-script,Skip-RNN trained; AF-TOI frozen,"harmonized: label onset, theta=0.10, m=3; PreOcc/NormOcc",matched suppression per seed (post-hoc),compare_skiprnn_vs_mheg.py + preonset_occupancy.py,-,Skip-RNN only
temporal warp,21,42-53,warped TERA-Gen (gen_warped.py),temporal_scale_generalization_v2/run_partA.py/run_partB.py,grid 0.21-5.21s,frozen 12-seed models+thresholds,label-onset frame detection (warp protocol scale),frozen; matched budget by bisection (<=2%),idem + multiplicity_holm,-,no
deployment,22,-,-,scripts/check_model_complexity.py,-,student_seed42.pt,-,-,idem,-,no
