table,row,metric,value,script,input_file,seeds,checkpoint,threshold,detection_rule,aggregation,dataset_partition
Table 8,LSTM-Baseline No,F1/ECE/FR/TTDp/TTDb/TTDef/ms-f/%Sup,0.366/0.686/0.033/0.657/0.174/0.500/0.677/0.0,run_seed_expansion_tera.py + stats_12seeds.py,expanded_per_seed.csv + expanded_summary.csv,42-53,frozen TERA pipeline per seed,thr_ep calibrated on VAL (F1 max s.t. FR<=0.05),episode score = mean p of last k=6 frames vs thr_ep; TTD at theta=0.10 m=3,mean+-sd over seeds,test (70/15/15)
Table 8,LSTM-AF-TOI Yes,F1/ECE/FR/TTDp/TTDb/TTDef/ms-f/%Sup,0.846/0.494/0.001/0.794/0.085/0.099/0.340/48.13,run_seed_expansion_tera.py + stats_12seeds.py,expanded_per_seed.csv,42-53,frozen TERA pipeline per seed,idem,idem,mean+-sd over seeds,test
Table 9,FR row,p-value/Cliff,0.0625/+0.361,scripts/recompute_statistics.py (audit),expanded_per_seed.csv,42-53,idem,--,exact two-sided Wilcoxon zeros DISCARDED (n_eff=5; 7/12 Baseline seeds FR=0),paired per seed,test
Table 11,No temporal organization,F1/FR/ECE/TTDef/%Sup,0.884/0.013/0.642/0.250/59.0,run_mechanism_ablation.py + analyze_mechanism_ablation.py,mechanism_ablation_per_seed.csv,42-53,retrained under run_v29 replication protocol,run_v29 gating (tau per seed; H in bits),run_v29 metrics (episode head),mean+-sd over seeds,run_v29 test split
Table 11,Full AF-TOI alpha=0.15,F1/FR/ECE/TTDef/%Sup,0.895/0.002/0.531/0.043/47.5,idem,idem,42-53,retrained under run_v29 (NOT the Table-8 checkpoints),idem,idem,mean+-sd,run_v29 test split
Table 11 stats,NoTemp vs alpha grid,TTDef_hyb ratios/p,3.5x p=0.005 (canonical) / 3.0x p=0.003 (worst) / 4.8x p=0.001 (mean),scripts/recompute_statistics.py,mechanism_ablation_per_seed.csv,42-53,idem,--,exact Wilcoxon zeros discarded,paired per seed,run_v29 test
Table 13/Fig 11,p_bar_max,per-level mean of per-episode max p_t,0.048/0.380 etc.,generate_borderline_frame_logs.py + regen figs,borderline logs seed 42,42,frozen factorial models,theta=0.10 descriptor only,max over frames per episode,mean+-sd over episodes,borderline held-out
Table 14,IC+MHEG,ECEcal/F1/FR/TTDb/TTDef/%Sup,0.011/0.504/0.000/0.053/0.053/57.1,tera_posthoc_calibration_experiment.py,paper_calibration_macros.tex,42-45,frozen Baseline + fitted calibrators,MHEG thresholds recalibrated per variant,pipeline rules,mean over 4 seeds,test
Table 19,reference gate Baseline,%Sup/TTDef/FR,93.6/0.25/0.002,run_gating_baselines_v2.py,exp_abl_A_frame_probs_*_seed42-45.npy,42-45,frozen run_v29 trajectories,oracle grid on test (declared),label onset y>0.35; theta=0.10 m=3; H in BITS,mean+-sd,replay test
Table 19 add,refresh gate R=8 Baseline,%Sup/TTDef/FR,85.9/0.161/0.000,run_refresh_gate_v2.py (new),idem,42-45,idem,idem + forced update every R frames,idem,mean+-sd,replay test
Table 20,Skip-RNN matched,FR/TTDef/%Sup/F1/PreOcc/NormOcc,0.000/0.000/50.9/0.998/0.211/0.001,train_skiprnn.py + compare_skiprnn_vs_mheg.py + preonset_occupancy.py,skiprnn checkpoints + campaign partitions,42-45,Skip-RNN trained end-to-end,theta=0.10 m=3 from label onset,harmonized protocol,mean+-sd,campaign test
Table 21,AF-TOI frozen grid,FR/TTDef per d,see table,temporal_scale_generalization_v2 scripts,warped TERA-Gen episodes,42-53,frozen 12-seed models+thresholds,frozen operating points,label-onset detection,mean+-sd per duration,warped OOD grid
Table 22,MACs/timestep,57.2K MACs (~115 KFLOPs),--,scripts/check_model_complexity.py,student_seed42.pt checkpoint,--,abl_A student,--,1 MAC = 2 FLOPs (stated),closed form verified = 58242 params,--
Fig 4c,ECE_replay,0.044 vs 0.129,regen_dense_figs_en_v2.py,episode_frame_logs_v2.csv,42,frozen abl_A models (fixed policy),bins>10 rule,reliability diagram on replay logs,frame-level seed 42,replay test
Fig 5,exemplars,ep36 prog / ep148 abrupt,regen_dense_figs_en_v2.py,episode_frame_logs_v2.csv,42,frozen abl_A models,median pre/post entropy-contrast criterion (declared),--,single episodes,replay test
Fig 14 (removed),H_strat,claim removed,scripts/recompute_statistics.py context (hstrat recompute),exp_main_frame_probs_*.npy,42-45,pipeline models,--,(H_post-H_stable)/H_max in bits,scale-sensitive; AF-TOI 0.343 Baseline 0.394 calibrated 0.63-0.82,pipeline test
